;cole_naturaleza;cole_bilingue;cole_calendario;cole_jornada;fami_tieneautomovil;fami_estratovivienda;fami_tieneinternet;fami_tienecomputador;estu_edad_cat;desemp_ingles;avg_punt_global
20991;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;No;Si;<= 25;A1;Low
20992;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;No;Si;<= 25;A2;Very High
20993;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;No;<= 25;A-;Low
20994;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;No;<= 25;A1;Medium
20995;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;No;<= 25;A2;Low
20996;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Low
20997;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
20998;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;Si;<= 25;A2;High
20999;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;Si;<= 25;B+;Very High
21000;OFICIAL;N;A;TARDE;Si;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
21001;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;No;<= 25;A-;Medium
21002;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;A-;Medium
21003;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;A1;Medium
21004;OFICIAL;N;A;TARDE;Si;Estrato 3;Si;Si;<= 25;B1;High
21005;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A-;Low
21006;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A1;High
21007;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;No;<= 25;A2;High
21008;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A-;Low
21009;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A1;Medium
21010;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;No;Si;<= 25;A2;High
21011;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A-;Low
21012;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A1;High
21013;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;A2;Very High
21014;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;No;<= 25;B1;Very High
21015;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A-;Low
21016;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
21017;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
21018;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
21019;OFICIAL;N;A;MAÑANA;No;Estrato 1 y 2;Si;Si;>= 26;A1;High
21020;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;No;<= 25;A-;Medium
21021;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;No;<= 25;A1;High
21022;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;A-;Low
21023;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;A1;Medium
21024;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;A2;Very High
21025;OFICIAL;N;A;MAÑANA;No;Estrato 3;No;Si;<= 25;B1;Very High
21026;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;A-;Low
21027;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;A1;Medium
21028;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;A2;High
21029;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;B+;Very High
21030;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;No;<= 25;B1;Very High
21031;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A-;Medium
21032;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A1;Medium
21033;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;A2;High
21034;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;B+;Very High
21035;OFICIAL;N;A;MAÑANA;No;Estrato 3;Si;Si;<= 25;B1;Very High
21036;OFICIAL;N;A;MAÑANA;No;Estrato 4;No;Si;<= 25;A-;Low
21037;OFICIAL;N;A;MAÑANA;No;Estrato 4;Si;No;<= 25;A1;Very High
21038;OFICIAL;N;A;MAÑANA;No;Estrato 4;Si;Si;<= 25;A-;Medium
21039;OFICIAL;N;A;MAÑANA;No;Estrato 4;Si;Si;<= 25;A1;Medium
21040;OFICIAL;N;A;MAÑANA;No;Estrato 4;Si;Si;<= 25;A2;Very High
21041;OFICIAL;N;A;MAÑANA;No;Sin Estrato;No;No;<= 25;A-;Low
21042;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;No;<= 25;A-;Medium
21043;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
21044;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A1;Medium
21045;OFICIAL;N;A;MAÑANA;Si;Estrato 1 y 2;Si;Si;<= 25;A2;High
21046;OFICIAL;N;A;MAÑANA;Si;Estrato 3;No;No;<= 25;A-;Low
21047;OFICIAL;N;A;MAÑANA;Si;Estrato 3;No;No;<= 25;A2;Very High
21048;OFICIAL;N;A;MAÑANA;Si;Estrato 3;No;Si;<= 25;A-;Medium
21049;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;No;<= 25;A1;Medium
21050;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A-;Low
21051;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A1;Medium
21052;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;A2;High
21053;OFICIAL;N;A;MAÑANA;Si;Estrato 3;Si;Si;<= 25;B1;Very High
